,pv
735,265469558.25034493
736,201272821.7563018
737,255605663.52980024
738,233726654.7107805
739,296357236.704316
740,181515253.75868154
741,292345488.4449452
742,222446151.80943152
743,195425590.88733768
744,143679324.65824407
745,188028681.89246204
746,237972695.86923337
747,330528209.3266351
748,139310678.00943953
749,230434077.5989809
750,244764512.58024302
751,126303305.08870432
752,319566502.28109974
753,151588617.2584772
754,400080312.7490709
755,239720153.29787177
756,118402785.60992323
757,163529719.3313842
758,418770986.11314577
759,149362618.71015522
760,305421213.7547174
761,429310712.97765136
762,146503036.3129616
763,156444099.77963182
764,182465833.1879678
765,148984669.99082747
766,164537155.85182253
767,173188869.02725446
768,145976511.20132983
769,168031115.50470227
770,108807376.52648468
771,176246723.65287846
772,188156144.5348485
773,202424404.79875132
774,127259442.01452202
775,210010230.86899376
776,176202605.3389551
777,251315415.11354008
778,111326914.61829226
779,295116035.20579773
780,333901745.7206817
781,144171211.47067064
782,117556192.57481095
783,343275864.8635166
784,266134816.12077814
785,122363882.05153558
786,203000785.58891752
787,117180046.68788399
788,200644667.38478458
789,193129641.6497977
790,150366045.19039267
791,211392418.71092725
792,178301136.75517607
793,178760229.55142745
794,100775995.23475854
795,199147015.48665634
796,152235568.2166689
797,105964767.2661417
798,211595820.16310763
799,94241577.74809311
800,312589997.7568175
801,273091960.1456476
802,394652843.0474292
803,174691329.63543248
804,177455562.2653962
805,190117082.6950949
806,201203791.88486984
807,225046939.28277874
808,307869852.1177752
809,125404023.82656111
810,169617387.5822033
811,252334467.1109129
812,215962110.11379096
813,381932078.8637214
814,245998052.87779596
815,156638222.7659287
816,132906480.8206642
817,119194235.9608754
818,232114325.66058663
819,141260857.80201697
820,125174291.5976999
821,187553796.5593661
822,159922778.54627234
823,125991519.63338622
824,141400020.3830178
825,208383988.72987866
826,297070042.4756268
827,250950727.17239538
828,205824640.99466002
829,457788024.90753156
830,150363629.54305387
831,122973254.37629893
832,168980227.53387964
833,204509082.33204463
834,184427098.02676523
835,187835561.57199576
836,341443109.85192066
837,352550376.3766264
838,481157023.1713765
839,858404301.5037035
840,179188006.18575236
841,208702347.59674627
842,120630411.8010714
843,317943044.08397084
844,252104124.9967107
845,310941890.79398423
846,201396860.31942865
847,197469284.25584653
848,228732332.82696557
849,190937536.94443208
850,479333222.0476755
851,243145738.880376
852,128063637.18585956
853,645252890.3697429
854,522214576.14834774
855,118026371.5995259
856,203641966.74792877
857,128093366.83223069
858,191645551.24089423
859,174242589.2306293
860,202600834.53531116
861,155111421.32132182
862,258882499.45130372
863,219502611.61691245
864,134068853.03510244
865,107473912.85060255
866,200157026.61277556
867,204853610.64359203
868,133747598.21155787
869,286238119.8443266
870,181470965.30440402
871,141155620.1454132
872,290501279.6294351
873,233007591.95800176
874,140790862.27252764
875,128142357.42453344
876,162100816.07413998
877,222980438.6659049
878,216134645.92793998
879,149650701.7216076
880,348427025.3329049
881,487826234.53611714
882,276095771.5807965
883,161626467.17798525
884,208210129.60297224
885,158439512.4268632
886,143786221.47573504
887,142115844.73236576
888,117154454.33258781
889,197452425.07500517
890,230369694.12140206
891,119034971.71987756
892,163012480.7866135
893,219445846.95536968
894,527493418.8198147
895,160339240.5533295
896,128454169.34785238
897,347186231.2259183
898,286696572.10486394
899,277843246.5986306
900,137102848.2076259
901,293285315.7107612
902,158610103.26355937
903,382618218.3659732
904,215718518.2244787
905,230017838.6127651
906,204846523.25068966
907,197234572.69403705
908,205452255.72380278
909,117021301.21532185
910,138735844.37846446
911,383052022.6286269
912,411495436.2902518
913,260012270.0479304
914,185089500.01201907
915,329267043.8870374
916,173261985.75539216
917,159820580.6490314
918,315709276.912396
919,320867882.6790588
920,164801406.97157955
921,156757587.5125601
922,130843509.13222106
923,135925717.96416685
924,363667874.5298727
925,190181008.1486752
926,182444080.67439383
927,133439808.92848155
928,159212328.2512909
929,393937699.8832408
930,233863019.12544006
931,130160278.72527096
932,168102834.4113353
933,142362101.34978458
934,208426709.06982088
935,130804895.05785212
936,159322069.72049302
937,215505456.01400787
938,122161095.42904824
939,129728380.77261649
940,118393500.18612722
941,133978967.67363404
942,171128863.24697572
943,229549327.69369256
944,118285167.54653722
945,152580632.81653684
946,127375060.08227177
947,140905151.81898972
948,170045609.7551117
949,233580096.30175766
950,492802637.8401599
951,172059960.81000283
952,164013109.56073338
953,177113042.5295308
954,215714042.846822
955,143401000.0673579
956,146536052.0060529
957,116768860.27477792
958,147435023.74379605
959,219621883.55497122
960,219647307.22095397
961,136810114.1187639
962,261642001.53552473
963,673456867.2105994
964,138214423.7460228
965,117539424.69196562
966,481324454.3546952
967,221005047.0154667
968,124815249.98139131
969,201491252.95391357
970,293883742.87138456
971,115388175.56866685
972,276123346.62843853
973,119020652.41861789
974,205359367.0353247
975,204237561.44944686
976,104060270.03220323
977,315375029.0443012
978,171852127.87082043
979,140906498.55366644
980,97446205.02905707
981,223219140.58991387
982,213144681.7047082
983,195377373.59802297
984,175444436.07043338
985,289320657.48030275
986,498717767.78533286
987,191078185.6449169
988,352372629.38135904
989,174837474.09443435
990,206828245.4162152
991,206381307.97208247
992,133804790.45354344
993,210028270.07591382
994,250225963.62712902
995,485988669.4178685
996,128747154.53878815
997,152864353.40640956
998,511836104.99590135
999,215902763.32114694
1000,489099188.36431223
1001,227213365.98489624
1002,162916897.18717062
1003,138018066.2927799
1004,305428212.78343093
1005,148263972.43440783
1006,171971964.7472237
1007,225616771.81816882
1008,178920230.74242616
1009,212691021.63825288
1010,156724244.61467826
1011,399362711.48169124
1012,318726972.4094923
1013,202194679.37608844
1014,138986069.06608626
1015,167438502.49113044
1016,229661925.3744396
1017,187898305.72492588
1018,187185932.21866572
1019,115952483.62540977
1020,362995901.155909
1021,272876677.7868836
1022,101304034.44868635
1023,217823867.01093754
1024,179343372.87016955
1025,124384668.61947496
1026,195740252.79332736
1027,159374330.68861175
1028,211691051.49825197
1029,284123140.88026685
1030,224516723.23504114
1031,317732489.5294589
1032,130265186.70852216
1033,198829501.17405188
1034,285396365.9368227
1035,161255901.19382
1036,405939548.4463328
1037,388488095.05802894
1038,196258738.70139506
1039,160968725.85319564
1040,302750202.2224159
1041,348544336.49871576
1042,165087375.49082142
1043,388746102.94065213
1044,329017790.51271707
1045,216317159.1183291
1046,161909498.37237555
1047,155816347.14792737
1048,256507396.7846229
1049,192984781.0627114
1050,106583561.06629704
1051,204568350.23438513
1052,238945011.01023307
1053,193375386.38956815
1054,249331653.77073961
1055,202830346.60352346
1056,290246888.80270374
1057,206066879.94316378
1058,195234075.21131232
1059,122540120.28524205
1060,205271936.3423871
1061,101270697.88664126
1062,416907196.8074167
1063,363276630.9341784
1064,266810948.16398382
1065,180950341.71143782
1066,254039000.31153378
1067,431359104.51253563
1068,136152719.08800155
1069,203197543.98621956
1070,135330953.88006765
1071,266205743.81542096
1072,162747042.81052545
1073,488828352.83944446
1074,140695073.38584605
1075,163721529.89261138
1076,268398857.61582536
1077,679227433.4620167
1078,168218315.73283997
1079,315249212.4603059
1080,253020064.35202467
1081,461318457.4570315
1082,153497413.20147145
1083,148569029.67929953
1084,101258595.0204052
1085,209563812.92621663
1086,112792532.59077145
1087,303067909.4352824
1088,188734685.86740404
1089,208300990.61455846
1090,166679809.2326011
1091,186171541.23057514
1092,218369695.38975787
1093,158985952.4563078
1094,179815272.5519873
1095,206947567.2701537
1096,152203994.64089516
1097,218685885.33055905
1098,350225759.786318
1099,104516320.48348823
1100,95368087.69175704
1101,160897179.0772741
1102,215292268.83944386
1103,278066561.478754
1104,256629283.59611222
1105,114078195.69835322
1106,197695701.10052195
1107,108405774.14092818
1108,188153074.42533308
1109,254756116.71698338
1110,134627015.92569876
1111,216183530.0065564
1112,322405574.59543
1113,217067129.8981642
1114,193284693.66630885
1115,171705093.5915758
1116,176287134.26698244
1117,159323946.47731537
1118,150549513.57910356
1119,215432738.49486676
1120,208705984.08734262
1121,89490904.28005813
1122,229960431.16874626
1123,164165046.31877667
1124,174438752.91589427
1125,223479854.1285911
1126,160589877.06139603
1127,116255018.45824434
1128,206773356.67070904
1129,199135478.45704237
1130,113929433.95126669
1131,112853680.61241779
1132,259892851.082763
1133,301038803.8912825
1134,180525750.99689427
1135,216057489.7441784
1136,216467798.61224708
1137,130916442.10477675
1138,117572712.71754928
1139,186686200.6086784
1140,206523074.529955
1141,148167846.5817443
1142,283336897.24834365
1143,236978912.21461084
1144,155943089.557852
1145,121848735.67776105
1146,206384426.3975477
1147,291278482.9799849
1148,271716097.5476141
1149,192543327.24122643
1150,244240189.04693964
1151,134070524.89239465
1152,99814648.93936856
1153,321249514.3221926
1154,144324334.5277135
1155,297154766.33587015
1156,300134107.57118297
