,pv
697,122636653.44020668
698,335914091.81354034
699,346229850.13059896
700,184115938.32837793
701,194506366.91320738
702,161670685.59369695
703,137040919.7704215
704,181975834.42070392
705,161711432.88369137
706,129222098.4547984
707,178310735.9806422
708,385005355.75197774
709,428651016.0181424
710,237042359.4913558
711,221019110.1208151
712,292055373.3631036
713,157718049.01569206
714,342681274.6770346
715,168904468.92886743
716,149551661.67991924
717,170504664.65052885
718,168981246.14911634
719,123790374.0554951
720,154766011.41908455
721,240379096.5382595
722,340472132.01270455
723,332996519.9187964
724,218870291.57218426
725,152170455.88825494
726,157324436.20439225
727,159876357.41885886
728,173919581.21941024
729,148066619.8427811
730,233328691.40743053
731,230035267.3498695
732,154304775.0887595
733,340337798.32405853
734,434591270.2686648
735,264248005.1084523
736,215548987.56461072
737,176983229.68101522
738,96094904.88032271
739,155261713.787096
740,384116748.1884453
741,197229183.11053807
742,180233122.24764818
743,343406106.22494113
744,183640122.83958793
745,270118906.819903
746,118366375.47763553
747,207707316.3634664
748,208464474.3862012
749,197454405.31495145
750,298977295.87514323
751,230028669.1209881
752,354197156.9525181
753,176350466.32154465
754,133994709.09908865
755,374331451.05841446
756,137302097.44860917
757,226227637.25717747
758,251845489.41082555
759,200908187.3721446
760,147734628.14115512
761,152637990.51737309
762,268737131.3905549
763,165687021.25234598
764,222818453.36318865
765,247312908.76299468
766,129965892.26686631
767,222767255.5896292
768,135785519.63215837
769,676698600.2615963
770,176241802.92924505
771,402007431.9398388
772,100798058.88556686
773,172225686.7786043
774,278859428.6314036
775,240259722.32019573
776,132948685.03931415
777,194681404.50020057
778,195226158.36845383
779,181932378.86593187
780,254038338.44413197
781,155225400.17586678
782,340155475.61982423
783,124226156.47678153
784,186953036.8779963
785,217259345.1849667
786,168668956.78451803
787,160815975.41176912
788,150128330.62915248
789,126661395.0670998
790,102855110.54441296
791,139103960.0617898
792,296228787.25598794
793,233630668.23389128
794,390151745.89478177
795,264547148.22593063
796,377468057.12750703
797,677018943.4484919
798,153089791.15484998
799,140069989.29915896
800,244199774.26228034
801,168937946.57999378
802,204512978.2477062
803,178831079.36667725
804,143868299.6037642
805,466962856.7102492
806,194060755.9657022
807,265433639.3161615
808,165323670.00435203
809,267416696.58399472
810,141573536.11739528
811,211425482.518809
812,248795355.50776678
813,137758242.1916091
814,102509378.74231645
815,527723136.5524769
816,154178678.70918494
817,160847469.9537665
818,194842783.74107462
819,145431418.57129958
820,330305767.0840743
821,210920931.57029852
822,422534925.24509066
823,274457550.68773574
824,131229435.46697709
825,172047121.72546476
826,192193226.86150983
827,292603831.89123374
828,114605389.13981463
829,250890645.35664314
830,140925077.9694922
831,187837926.7850849
832,248217558.57867113
833,167785163.41740438
834,247442181.2599027
835,228008592.91507596
836,602336632.647971
837,165132657.49720842
838,184483545.8796838
839,194901859.26858476
840,95496815.64918011
841,139520964.09435582
842,175717525.5627867
843,203220845.47922552
844,145979598.1395307
845,218424505.3355179
846,188875681.92651543
847,200071278.66244483
848,268861146.58546126
849,130544040.33581068
850,104545663.95994034
851,171025060.26861444
852,137509055.4976585
853,252096807.29904333
854,197418227.37598804
855,181172912.01941326
856,131573132.43173866
857,172772503.14017865
858,168653609.96196854
859,180961065.34274834
860,182391169.6179733
861,102743021.65730523
862,738281504.6355047
863,741592705.7877116
864,104813473.11272413
865,181407312.89336747
866,148722392.84624273
867,253535773.0221008
868,233138812.508298
869,251357705.14910084
870,166537618.68851623
871,160076262.4239408
872,127071876.64184943
873,119687458.01566598
874,161807815.99529195
875,225513007.97755086
876,230325350.0635058
877,163277947.63544118
878,134822046.58387196
879,196749418.26928675
880,133094750.36176006
881,263817335.2065519
882,590160096.5253885
883,501304877.69414186
884,229905423.3587337
885,296686977.51313215
886,313926389.3706118
887,276643164.93087626
888,680732661.6123556
889,121842227.18460442
890,207347522.8499182
891,305794494.9459887
892,180090228.061039
893,76286651.28253663
894,178336436.67514136
895,443777372.8631819
896,191865866.1970864
897,365136329.0185087
898,171434748.14301986
899,333674669.3092201
900,368336450.05384755
901,237734413.97140267
902,320066749.35682553
903,124399649.59767112
904,224836190.28649482
905,206972813.1007041
