,pv
836,599569788.8323685
837,162290245.5921597
838,175980994.85822168
839,188377648.9559303
840,100652880.34043357
841,131428353.10012095
842,159896640.57405293
843,194329991.60450912
844,137968851.52520847
845,216798614.11149606
846,198361721.8082391
847,201995831.6239358
848,267654031.31902033
849,129607850.65385842
850,100856993.87855044
851,163779777.7452375
852,133447117.75907071
853,255573103.9918051
854,198462944.9272734
855,182437487.84669787
856,128636775.3143058
857,174508320.23323134
858,170879599.64178678
859,178919187.1788564
860,166399413.47518852
861,99106681.05296561
862,752511546.4906862
863,734897485.7488453
864,104460821.42261416
865,189379060.43200174
866,145767022.4596057
867,242525896.09471655
868,222898407.06714523
869,232681676.39072627
870,165667412.65856704
871,168897988.0965461
872,130444747.5000825
873,123187223.60448103
874,150286046.73303628
875,213566549.47152343
876,233470223.7154032
877,165436518.8260814
878,132941615.09634683
879,205272191.85887024
880,144065176.06489384
881,237427839.39838433
882,574066897.9279151
883,507899434.72344226
884,221455258.7796216
885,275198388.48514616
886,314631874.4054059
887,264780347.1331382
888,680848568.2925364
889,119753409.8132434
890,206451909.43977174
891,323977090.30232716
892,180760057.60860798
893,81281400.09323235
894,173045405.27597237
895,430171830.5316192
896,181155002.3501231
897,349531831.2383147
898,173361792.1417808
899,307440293.8026658
900,355914745.0462189
901,244369069.47262287
902,288072411.4971592
903,129578137.69048968
904,217823770.15004507
905,198291528.93654716
906,273160509.8385767
907,168409043.70918658
908,155618973.76376703
909,191186394.33794856
910,161544388.15278044
911,236420135.36294666
912,174872909.97575253
913,115077750.5410011
914,596130020.7789273
915,193456876.60657445
916,185885011.89866376
917,567861528.7475572
918,158103874.10267505
919,558392097.5048392
920,222756592.4404985
921,314919223.49514204
922,278883609.95603865
923,140344422.59203753
924,250351362.62621298
925,163740081.89372802
926,174234386.46651718
927,410725703.2533642
928,275280011.9254056
929,164721878.75692973
930,289853604.2927287
931,144181262.8145084
932,146625756.2125127
933,246888458.37184033
934,176715296.82482406
935,227285865.17532903
936,250294646.98883578
937,134022924.26454644
938,316255520.0705082
939,277401801.3527583
940,232416592.81758612
941,154796869.80414405
942,207082904.58262718
943,401998927.1136392
944,157030659.4328724
945,335627134.97665775
946,166826932.2063122
947,131023092.83738755
948,177599936.92387033
949,276142120.6344726
950,82945503.8371747
951,178536359.79715082
952,226218626.95502135
953,163456159.2486089
954,442801404.8912413
955,181838068.5694494
956,424562970.642838
957,347812571.29168534
958,172115268.1896039
959,239536070.53720185
960,430005598.4775971
961,222320142.0328547
962,511615864.36423194
963,424971920.24290067
964,313766559.6032711
965,366479524.16241944
966,180526619.03266582
967,124123782.6071607
968,172181517.78673765
969,191059141.87626818
970,147225996.2971453
971,205321816.37244114
972,209779237.11656657
973,198081388.07165396
974,328336956.08125365
975,342813812.46709526
976,131617899.75399278
977,189521924.7255728
978,273091068.9170041
979,207464031.37367576
980,222642637.61963695
981,164773598.5417982
982,384084390.2837763
983,169556923.46619806
984,189995115.63160875
985,175059829.57047504
986,170029366.95493475
987,149753160.412265
988,295746646.34365034
989,205218617.24254575
990,159386457.7985094
991,264201882.31738073
992,154059721.12109858
993,288572411.82872844
994,311271424.35129637
995,138376857.37241215
996,827715690.3383584
997,141072503.91895327
998,96913371.55549502
999,194572260.3033527
1000,252546067.8244455
1001,183279494.10191202
1002,378148964.23317456
1003,111580924.36310764
1004,144638853.62251908
1005,338715086.9999682
1006,254341653.68894267
1007,179078240.01974007
1008,130668291.56383897
1009,341916256.4134305
1010,206062060.34394926
1011,120810398.08302666
1012,159715855.39316985
1013,180565550.52999693
1014,174821486.97362894
1015,96356373.1960233
1016,238575305.4218828
1017,170335028.7015487
1018,215725791.9613326
1019,132374557.32559593
1020,371928718.28872263
1021,133057435.01796976
1022,197193204.55578408
1023,263996246.41998142
1024,230840343.8823274
1025,146004949.78412396
1026,200707675.44644353
1027,238433195.56769684
1028,430485806.4156671
1029,156826605.48337984
1030,379854700.2471025
1031,148093965.00684932
1032,173086945.17876926
1033,363000632.9639332
1034,302620090.5851041
1035,268776739.6319503
1036,151031257.47676465
1037,152210126.88609272
1038,363143685.5158159
1039,197224163.6849764
1040,214373031.11341393
1041,145861174.90629995
1042,282843543.92678523
1043,354345029.87169486
1044,164609667.89499334
1045,495521431.3564746
1046,163676536.62103775
1047,246962520.51153988
1048,201739655.09852663
1049,178706139.4044802
1050,152738174.4902055
1051,163596966.97318777
1052,154053367.8961854
1053,113659205.0976021
1054,151374608.89124373
1055,204661976.08052453
1056,158290777.01863837
1057,101543121.60336804
1058,242409582.0583903
1059,208970900.47339642
1060,143680119.97544393
1061,182222125.76156598
1062,216205541.89475137
1063,159322183.45841724
1064,170297820.30897155
1065,119720724.8852614
1066,240487779.5444213
1067,233824037.8425102
1068,167669471.66520318
1069,167683870.59512907
1070,299064714.48492414
1071,382292001.80401057
1072,161036495.4575152
1073,230353515.1099474
1074,345587989.74277824
1075,158112554.87547994
1076,103671293.48558865
1077,482734153.4847987
1078,173143421.31589296
1079,120109201.49606083
1080,239339938.12298316
1081,398275739.5595521
1082,294978221.132071
1083,111047790.79952426
1084,177416318.20270884
1085,184751432.8249557
1086,210682242.59407532
1087,187676675.1734438
1088,85635705.9624682
1089,237854255.03806195
1090,211369420.05567563
1091,205559300.03594002
1092,176604067.1190024
1093,148730264.16930428
1094,199747290.35521173
1095,294737491.5558869
1096,161001686.58054096
1097,238643677.91290605
1098,255961930.8053258
1099,159115873.93448994
1100,177764340.94050035
1101,185111321.13816425
1102,204186303.9094251
1103,230401325.47467524
1104,345468069.7956718
1105,149140200.3519579
1106,361952646.404523
1107,293890043.084836
1108,209201653.40030634
1109,119258699.15595946
1110,282582730.8298697
1111,97293503.83413027
1112,412383917.3582174
1113,147999972.7137415
1114,251072487.41238603
1115,200400353.74322185
1116,382077611.88756895
1117,145554529.32788962
1118,228599079.8837536
1119,160615169.58262256
1120,201213170.83487007
1121,191775599.5331544
1122,229006497.21310136
1123,179484606.95954493
1124,393926754.820939
1125,169545870.1402199
1126,303416666.9015425
1127,201127884.80494198
1128,254826955.63077345
1129,178409800.52167234
1130,304168173.51328397
1131,212303982.01627755
1132,358702847.97286206
1133,131303747.42318797
1134,161090640.58877477
1135,200394377.3122608
1136,211358336.40890053
1137,406245849.1247512
1138,188172685.92223698
1139,243760943.3399212
1140,162567897.47844705
1141,159509100.9713975
1142,381820147.72681946
1143,157280832.41573173
1144,230484323.89459756
1145,228213575.35667053
1146,257387660.1111143
1147,251958154.07348776
1148,152078152.90594107
1149,306521903.6940443
1150,138997890.29131603
1151,222052398.66223177
1152,192692130.27791306
1153,273885304.63059145
1154,192388922.92775396
1155,257106528.42779917
1156,202796083.90907183
1157,249106916.35957795
1158,272123076.30202967
1159,186225497.72572064
1160,144116840.37817287
1161,164692598.33522987
1162,281475616.1052882
1163,246467699.200416
1164,488693090.64208454
1165,135881298.68321267
1166,202621232.28069565
1167,169875339.00964475
1168,197876486.45544827
1169,141148101.58876756
1170,182001039.3034792
1171,171476333.47249195
1172,243333616.92597443
1173,167340578.62458768
1174,150281700.93387553
1175,209769610.49781227
1176,137532238.26376167
1177,167052456.9450794
1178,617630736.9889017
1179,275939318.644577
1180,145762018.734925
1181,235151324.03678283
1182,172140592.74929866
1183,88573402.16024579
1184,157904971.71490914
1185,212224456.32921296
1186,245893577.7013754
1187,317282551.7956541
1188,225032433.9788973
1189,136091335.02021158
1190,178859132.33131343
1191,315394319.98461616
1192,146742164.58989155
1193,276890044.7480238
1194,166343538.97647187
1195,154931237.0410564
1196,299268674.00036985
1197,146148158.36655807
1198,156870795.44358373
1199,401180674.9560931
1200,138822282.48362836
1201,191937662.28447232
1202,192587008.86243257
1203,192085218.3055916
1204,293961739.36634475
1205,149579323.63350806
1206,185070530.15093395
1207,177164979.13293016
1208,211200808.98436117
1209,224307133.1874708
1210,492376159.22454154
1211,109784883.5407629
1212,242536585.43530315
1213,224792126.45344484
1214,133728270.47498588
1215,205793840.463218
1216,560389391.592148
1217,129562144.85143647
1218,166370789.51816785
1219,336730558.9109428
1220,446582138.98275197
1221,260315953.97435316
1222,139454957.55254418
1223,149717452.66257378
1224,376214119.20849997
1225,242928766.57387537
1226,795814852.4554303
1227,106082203.63094555
1228,188076295.02238238
1229,182591153.9086567
1230,265493394.943162
1231,470051556.0180504
1232,492152976.9070845
1233,178687633.94701943
1234,299603462.72416973
1235,227869432.20150912
1236,175813021.4293783
1237,391211527.86628634
1238,108308892.67073773
1239,211680755.5067073
1240,224873668.1180139
1241,155897744.4215977
1242,134464936.1430141
1243,202368647.3217545
1244,154446797.95526195
1245,158240465.15465266
1246,293189474.0365182
1247,248341836.3614019
1248,519120383.1161808
1249,95950277.43669339
1250,143710427.31829712
1251,312200321.1091013
1252,145299584.14175233
1253,226663820.0946788
1254,544550722.1607071
1255,105141689.44923355
1256,338505214.7304869
1257,206107120.07599172
1258,635212481.1654124
1259,134973422.828078
1260,338773225.5265018
1261,142185269.5120893
1262,154800678.016813
1263,179786553.1474737
1264,206775370.39939925
1265,184264211.21510056
1266,95565652.42545553
1267,161599930.18002394
1268,180762164.9647697
1269,170685068.02394322
1270,125371586.56781855
1271,142404431.0408772
1272,118314551.42552495
1273,153171947.63066483
1274,117367399.62425058
1275,142045873.20148942
1276,226380790.74334517
1277,147232995.53813383
1278,196591571.28850293
1279,346003863.484409
1280,466529395.3565925
1281,216825322.15959778
1282,201334872.95246258
1283,197284366.14907575
1284,163267786.5476417
1285,132437919.34932005
1286,214102021.34924462
1287,244441595.02239755
1288,183090223.79562768
1289,114373938.63375226
1290,218766158.3407729
1291,140487519.25276306
1292,311637458.30334693
1293,124385561.92079684
1294,216434809.13626236
1295,224221227.07449147
1296,225601415.37352288
1297,153112271.05639064
1298,534682655.74186444
1299,247525717.15597254
1300,265430378.6637647
1301,316259618.86693764
1302,144145992.18302187
1303,130215376.31452876
1304,354787244.2818274
1305,200721967.8981092
1306,172584441.51976803
1307,130795308.96777774
1308,138549516.97712252
1309,228539269.38432536
1310,214850327.76203474
1311,199025292.66370475
1312,178458020.47736913
1313,546385085.3729403
1314,210601164.6651518
1315,344419033.5487775
1316,145018755.0483157
1317,158132750.02758095
1318,298697797.20004386
1319,486780782.48373324
1320,306806554.6391936
1321,235994285.17287147
1322,218507896.93698093
1323,125245061.28795174
1324,220229804.27982453
1325,359093258.3449608
1326,266231181.46958947
